title,price,rating,brand,ram,storage,color,processor
"HP Omnibook 3, Snapdragon X Processor 45 Tops (16GB LPDDR5x,512GB SSD) 2K WUXGA, 14''/35.6cm, Win 11, M365*Office 24,Silver,1.42kg, hz0026QU/ hz0024QU, Lighter mini Charger, FHD IR Camera, AI Laptop",69990.0,,HP,16,512.0,Silver,Apple M365
"Dell 15 (Previously Inspiron), R5-7520U Processor, 8GB LPDDR5 RAM, 512GB SSD, FHD 15.6""/39.62 cm Display, Windows 11 Home, Carbon Black, 1.63kg, Standard Keyboard, 15 Month McAfee, Thin & Light Laptop",53990.0,,Dell,8,512.0,Black,
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",44999.0,,Lenovo,8,512.0,Silver,AMD
"Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",42990.0,,Acer,8,256.0,Silver,Apple A114
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Blush",73990.0,,Apple,8,256.0,Midnight,Apple A18
"Dell 15 AI Powered Laptop, Intel Core Ultra 5 225H, 8GB DDR5 RAM, 512GB SSD, 15.6"" FHD Anti-Glare Display, Intel Arc Graphics, Standard Keyboard, Dedicated Copilot Key, Black, Win11 Home + MSO H&S'24",73490.0,,Dell,8,512.0,Black,Intel
"Dell 15 SmartChoice (Previously Inspiron), Intel 13th Gen Core i5-1334U, 16GB, 1TB SSD, FHD,15.6""/39.62cm, Win 11, MSO'24, Silver, 1.62kg, [Dell 15], 12 Month McAfee, Backlit KB, Thin & Light Laptop",72990.0,,Dell,16,1024.0,Silver,Intel
"ASUS Vivobook 16,Smartchoice, 13th Gen, Intel Core i5-13420H,16GB RAM,512GB SSD,FHD, OLED,Win 11,M365 Basic (1Y),Backlit Keyboard,Office 2024,Silver,1.88 kg,X1605VA-SH1952WS, Thin & Light Laptop",67990.0,,ASUS,16,512.0,Silver,Apple M365
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 16GB DDR4, 512 SSD, Intel UHD Graphics, 15.6"" FHD 120Hz IPS AG 250 nit Display, Win 11 + Office 2024, Black, 1.63Kg",62490.0,,Dell,16,512.0,Black,Intel
"Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 32‑core GPU: Built for AI, 35.97 cm (14.2″) Liquid Retina XDR Display, 36GB Unified Memory, 2TB SSD Storage; Space Black",464490.0,,Apple,36,2048.0,Black,Apple M5
"Acer Aspire Lite, AMD Ryzen 3-5400U, 8 GB RAM, 512 GB SSD, Full HD 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 KG, AL15-41, Premium Laptop",42990.0,,Acer,16,512.0,Gray,AMD
"Acer Aspire One, Intel Core Celeron N4500, 8GB LPDDR4 RAM/ 256GB SSD, 14.0""/35.56cm WXGA Display, Intel UHD Graphics, Win 11 Home, Pure Silver, 1.3 Kg, A114-45, Thin and Light Laptop",35990.0,,Acer,8,256.0,Silver,Apple A114
"HP 15 Smartchoice, 13th Gen Intel Core i3-1315U (12GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365(1yr)*Office24, Silver, 1.59kg, fd0573TU, FHD Camera w/Shutter Laptop",44990.0,,HP,12,512.0,Silver,Apple M365
"Apple 2026 MacBook Neo 13"" Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Indigo",83490.0,,Apple,8,512.0,Indigo,Apple A18
"Acer Smartchoice Aspire One, AMD Ryzen 5-40, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",44990.0,,Acer,8,256.0,Silver,Apple A114
"Apple 2026 MacBook Neo 13"" Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 512GB SSD Storage, 1080p FaceTime HD Camera, Touch ID; Silver",83490.0,,Apple,8,512.0,Silver,Apple A18
"ASUS Vivobook 15, Smartchoice,Intel Corei5 13thGen 13420H, 16GB RAM, 512GB SSD, FHD 15.6"", Win11, Office Home'24, M365 Basic (1Year)*, Cool Silver, 1.70kg, X1502VA-BQ835WS, Intel UHD iGPU, Laptop",65990.0,,ASUS,16,512.0,Silver,Apple M365
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",35670.0,,Acer,4,256.0,Silver,Apple A325
𝗟𝗲𝗻𝗼𝘃𝗼_Model L490 Laptop| Core i5 8th Gen | 8GB Fast RAM | 512GB SSD | 14-inch HD Display Win 10| (Pre-Owned & Tested),25999.0,,Unknown,8,512.0,Black,
"HP Chromebook 14, MediaTek Kompanio 540 (4GB LPDDR5, 128GB UFS) HD, Anti-Glare, Micro-Edge, 14''/35.6cm, ChromeOS, 100 GB Google One(1yr), Modern Gray,1.35kg, nm0004MU, HD Camera w/Shutter Laptop",29990.0,,HP,4,512.0,Gray,MediaTek
Acer Pro 15 Ryzen 3 7320U 15.6 inch Full HD,49990.0,,Acer,16,512.0,Black,
"ASUS Vivobook S14, Intel Core Ultra 5 225H, Intel iGPU,16GB RAM,512GB SSD, FHD+,14"",60Hz,Windows 11,M365 Basic (1Year)*,Office Home 2024,Cool Silver,1.4 Kg, S3407CA-LY060WS, Metallic Design Laptop",82990.0,,ASUS,16,512.0,Silver,Apple M365
"Acer Smartchoice Aspire One, AMD Ryzen 5-40, 8GB LPDDR5 RAM/ 512GB SSD, 14.0""/35.56cm WXGA Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",47990.0,,Acer,8,512.0,Silver,Apple A114
"HP 15 Laptop, AMD Ryzen 7 7730U (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24,Silver,1.59kg,FHD Camera w/Privacy Shutter, Backlit KB, fc0761AU",69590.0,,HP,16,512.0,Silver,Apple M365
